TimeLabel,MEAS1_PPG1,MEAS1_PPG2,MEAS1_PPG3,MEAS1_PPG4,ACCX,ACCY,ACCZ,HR_timestamp,HR_value,radar_timestamp,phase_rx0,phase_rx1,phase_rx2,timestep,n_process,original_rate,calculated_rate
2025-07-02 22:21:50,4552.0,1069.0,6542.0,505.0,1982.0,3419.0,129.0,2025-07-02 22:21:50,86.0,2025/07/02 10:21:50 PM,1.94209433668401,-2.71773533529666,-1.83018391580338,2025/07/02 10:21:50 PM,4.47100814295086,13.274336814880373,11.729925615105856
,4552.0,1068.0,6544.0,504.0,1972.0,3433.0,134.0,2025-07-02 22:21:51,87.0,,1.9427820372835,-2.71700427041265,-1.82960019111089,2025/07/02 10:22:00 PM,4.0827574586021,12.711864471435549,11.3951395139514
,4551.0,1070.0,6544.0,505.0,1983.0,3454.0,125.0,2025-07-02 22:21:52,87.0,,1.94238189172846,-2.71910761053691,-1.8284613219006,2025/07/02 10:22:10 PM,3.675490134976244,11.848341941833496,11.2977369165488
,4554.0,1071.0,6546.0,507.0,1977.0,3455.0,116.0,2025-07-02 22:21:53,87.0,,1.94266946062525,-2.71835033841814,-1.82883735101432,2025/07/02 10:22:20 PM,3.243320225437431,11.363636016845703,11.380798274002153
,4558.0,1070.0,6546.0,506.0,1967.0,3431.0,114.0,2025-07-02 22:21:54,87.0,,1.94247086328498,-2.71861770376973,-1.82862836936365,2025/07/02 10:22:30 PM,2.781394489261354,11.312216758728027,15.117370892018776
,4555.0,1071.0,6551.0,506.0,1977.0,3434.0,110.0,2025-07-02 22:21:55,86.0,,1.94287109979929,-2.71880746924472,-1.82869023835419,2025/07/02 10:22:40 PM,2.286264417313978,12.793176651000977,11.765836777852556
,4559.0,1071.0,6552.0,506.0,1978.0,3454.0,130.0,2025-07-02 22:21:56,86.0,,1.94249073063517,-2.71870084329694,-1.82885974682711,2025/07/02 10:22:50 PM,1.7561807411181911,12.693934440612791,11.06014271151885
,4560.0,1073.0,6560.0,508.0,1967.0,3458.0,112.0,2025-07-02 22:21:57,85.0,,1.9422264395772,-2.71935573578441,-1.82965552645956,2025/07/02 10:23:00 PM,1.1912857169855753,12.405238151550291,10.05046257359125
,4563.0,1070.0,6558.0,510.0,1966.0,3466.0,113.0,2025-07-02 22:21:58,85.0,,1.94265752432993,-2.71908958898388,-1.82923723312969,2025/07/02 10:23:10 PM,0.5936844089925166,11.18568229675293,10.878048780487813
,4564.0,1073.0,6560.0,507.0,1963.0,3469.0,118.0,2025-07-02 22:21:59,85.0,,1.94179154711582,-2.71819329360883,-1.82872283191901,2025/07/02 10:23:20 PM,-0.03261503517072264,10.762331962585447,10.0
,4564.0,1074.0,6564.0,506.0,1966.0,3478.0,137.0,2025-07-02 22:22:00,85.0,,1.94225461558992,-2.71861560378288,-1.82939306099493,2025/07/02 10:23:30 PM,-0.6818915175249155,10.676156997680664,9.231315462453388
,4566.0,1075.0,6567.0,507.0,1970.0,3475.0,141.0,2025-07-02 22:22:01,85.0,,1.94132459522056,-2.71901642753358,-1.82998404703351,2025/07/02 10:23:40 PM,-1.347019650901411,10.474860191345217,8.45070422535212
,4568.0,1075.0,6566.0,508.0,1969.0,3462.0,145.0,2025-07-02 22:22:02,86.0,,1.94185870491221,-2.71970923748103,-1.8286369163568,2025/07/02 10:23:50 PM,-2.0198739793110163,9.209516525268553,8.187514504525419
,4571.0,1074.0,6569.0,508.0,1973.0,3462.0,159.0,2025-07-02 22:22:03,86.0,,1.94103581122713,-2.72074258820454,-1.82863190197643,2025/07/02 10:24:00 PM,-2.691795618762971,8.348793983459473,9.022556390977435
,4566.0,1073.0,6569.0,507.0,1976.0,3445.0,135.0,2025-07-02 22:22:04,86.0,,1.94074526761671,-2.71862891462009,-1.8287578938019,2025/07/02 10:24:10 PM,-3.3540802019528044,8.534850120544434,9.196617336152212
,4569.0,1077.0,6572.0,509.0,1971.0,3444.0,131.0,2025-07-02 22:22:05,87.0,,1.94077189350373,-2.71931781674405,-1.82877871666247,2025/07/02 10:24:20 PM,-3.99844241733205,8.902076721191406,9.448818897637803
,4570.0,1075.0,6572.0,509.0,1975.0,3447.0,135.0,2025-07-02 22:22:06,86.0,,1.94069615823056,-2.71902156424968,-1.8298373534737,2025/07/02 10:24:30 PM,-4.617415426827992,9.30232524871826,8.759124087591248
,4572.0,1074.0,6573.0,509.0,1985.0,3449.0,128.0,2025-07-02 22:22:07,86.0,,1.94072641080871,-2.71926346191907,-1.82916589777213,2025/07/02 10:24:40 PM,-5.2046535161311445,9.24499225616455,8.633093525179834
,4570.0,1072.0,6570.0,507.0,1978.0,3448.0,131.0,2025-07-02 22:22:08,86.0,,1.94022211674346,-2.7196525695462,-1.82950308800369,,-5.755121410425209,,
,4573.0,1075.0,6572.0,509.0,1983.0,3471.0,143.0,2025-07-02 22:22:09,86.0,,1.94006559590517,-2.71928648075987,-1.82910089194949,,-6.2651700810657225,,
,4572.0,1075.0,6572.0,509.0,1977.0,3447.0,128.0,2025-07-02 22:22:10,85.0,,1.93901774038567,-2.71988884676357,-1.82930106422084,,-6.732512975362271,,
,4568.0,1074.0,6572.0,510.0,1972.0,3438.0,122.0,2025-07-02 22:22:11,85.0,,1.94012574123598,-2.71921610827327,-1.8294376358949,,-7.156126103375341,,
,4574.0,1073.0,6571.0,506.0,1972.0,3454.0,115.0,2025-07-02 22:22:12,85.0,,1.94030162519255,-2.7206599148161,-1.8281917051032,,-7.536099583091741,,
,4573.0,1074.0,6573.0,509.0,1972.0,3448.0,127.0,2025-07-02 22:22:13,85.0,,1.93965729853754,-2.71941231378975,-1.82966021065501,,-7.873467649686594,,
,4575.0,1076.0,6572.0,511.0,1980.0,3458.0,132.0,2025-07-02 22:22:14,85.0,,1.94045742705407,-2.71858883620857,-1.8287060693934,,-8.170039994181346,,
,4576.0,1077.0,6575.0,510.0,1992.0,3467.0,123.0,2025-07-02 22:22:15,85.0,,1.93998867833082,-2.72105377729313,-1.82937667878845,,-8.428250726618462,,
,4575.0,1075.0,6578.0,508.0,1982.0,3470.0,129.0,2025-07-02 22:22:16,84.0,,1.94067447259061,-2.71998581606436,-1.82915583291571,,-8.651032914173065,,
,4576.0,1078.0,6582.0,510.0,1985.0,3454.0,135.0,2025-07-02 22:22:17,83.0,,1.94030798554455,-2.72003491377271,-1.82827537393431,,-8.841717081965822,,
,4579.0,1077.0,6584.0,509.0,1977.0,3451.0,117.0,2025-07-02 22:22:18,82.0,,1.93970693286415,-2.72015012062601,-1.82850716636496,,-9.003942518892458,,
,4583.0,1078.0,6586.0,509.0,1966.0,3461.0,125.0,2025-07-02 22:22:19,81.0,,1.94102456378911,-2.71926835007638,-1.82853031758134,,-9.141563035436482,,
,4588.0,1080.0,6590.0,511.0,1976.0,3463.0,128.0,2025-07-02 22:22:20,80.0,,1.93985289424124,-2.71954563648179,-1.82898689491572,,-9.25852672835673,,
,4585.0,1078.0,6592.0,509.0,2005.0,3469.0,131.0,2025-07-02 22:22:21,79.0,,1.94036030533732,-2.71899169389534,-1.82863345256666,,-9.358713846689136,,
,4590.0,1083.0,6598.0,510.0,2000.0,3458.0,124.0,2025-07-02 22:22:22,79.0,,1.94024487314463,-2.71944493109684,-1.82959700540326,,-9.445727108599714,,
,4591.0,1082.0,6602.0,514.0,1980.0,3469.0,131.0,2025-07-02 22:22:23,78.0,,1.9397816399471,-2.71923316501499,-1.82894583736376,,-9.522641861868923,,
,4592.0,1082.0,6604.0,510.0,1980.0,3470.0,140.0,2025-07-02 22:22:24,78.0,,1.94060187130745,-2.71895396231673,-1.82889065780944,,-9.591735941650144,,
,4595.0,1084.0,6606.0,511.0,1970.0,3442.0,144.0,2025-07-02 22:22:25,79.0,,1.93984463221034,-2.72042790739971,-1.82942928324398,,-9.654228410539366,,
,4598.0,1087.0,6612.0,512.0,1970.0,3458.0,146.0,2025-07-02 22:22:26,79.0,,1.94072307565021,-2.71974245703965,-1.82892209018512,,-9.710061181170769,,
,4599.0,1086.0,6621.0,513.0,1977.0,3455.0,120.0,2025-07-02 22:22:27,80.0,,1.93989627502368,-2.71932710972192,-1.82924629700865,,-9.757757364064377,,
,4604.0,1089.0,6623.0,514.0,1968.0,3446.0,125.0,2025-07-02 22:22:28,81.0,,1.93971473342644,-2.71947212727791,-1.82944799017078,,-9.794385205106565,,
,4607.0,1089.0,6627.0,512.0,1994.0,3450.0,157.0,2025-07-02 22:22:29,81.0,,1.93978622111143,-2.72003073436073,-1.82859973916052,,-9.815647160399743,,
