TimeLabel,MEAS1_PPG1,MEAS1_PPG2,MEAS1_PPG3,MEAS1_PPG4,ACCX,ACCY,ACCZ,HR_timestamp,HR_value,radar_timestamp,phase_rx0,phase_rx1,phase_rx2,timestep,n_process,original_rate,calculated_rate
2025-07-17 14:34:48,6732.0,829.0,7169.0,546.0,-97.0,2489.0,3038.0,2025-07-17 14:34:57,98.0,2025/07/17 02:34:48 PM,-1.0777650638952,-2.96547537523527,-1.28298536814309,2025/07/17 02:34:48 PM,-1.5763237667864167,19.72242546081543,20.689655172413794
,6734.0,831.0,7170.0,545.0,-100.0,2490.0,3045.0,2025-07-17 14:34:58,97.0,,-1.07710470072916,-2.96545827199515,-1.28299275440361,2025/07/17 02:34:58 PM,-1.6113571639734554,20.174848556518555,19.481273920174957
,6736.0,831.0,7173.0,547.0,-102.0,2493.0,3042.0,2025-07-17 14:34:59,96.0,,-1.07738466586964,-2.96553740944249,-1.28280826298477,2025/07/17 02:35:08 PM,-1.6451654659854498,19.89683151245117,19.242295251800375
,6735.0,832.0,7172.0,545.0,-93.0,2497.0,3035.0,2025-07-17 14:35:00,95.0,,-1.07630890972845,-2.96554361851122,-1.28343383390678,2025/07/17 02:35:18 PM,-1.6804659134213653,19.69365501403809,20.0
,6737.0,829.0,7169.0,545.0,-105.0,2502.0,3019.0,2025-07-17 14:35:01,94.0,,-1.07683391134202,-2.965559307236,-1.28291305520861,2025/07/17 02:35:28 PM,-1.7191521975029527,20.013341903686523,20.112994350282495
,6738.0,832.0,7170.0,547.0,-100.0,2507.0,3018.0,2025-07-17 14:35:02,93.0,,-1.07692419049112,-2.96554801573872,-1.28221445148558,2025/07/17 02:35:38 PM,-1.762179843329438,19.76573944091797,19.481273920174942
,6740.0,831.0,7171.0,546.0,-100.0,2489.0,3040.0,2025-07-17 14:35:03,93.0,,-1.07601862936365,-2.96546905705911,-1.28283187938635,2025/07/17 02:35:48 PM,-1.8094659544515832,19.78022003173828,18.65734962943339
,6742.0,831.0,7170.0,545.0,-103.0,2487.0,3023.0,2025-07-17 14:35:04,92.0,,-1.07616466762767,-2.96546825201521,-1.28260560587412,2025/07/17 02:35:58 PM,-1.859821830602047,19.480518341064453,17.424242424242415
,6742.0,830.0,7171.0,546.0,-104.0,2489.0,3029.0,2025-07-17 14:35:05,92.0,,-1.07589038268696,-2.96545477187933,-1.28237012628816,2025/07/17 02:36:08 PM,-1.910938807323744,18.518518447875977,18.01470588235294
,6741.0,830.0,7173.0,545.0,-100.0,2492.0,3043.0,2025-07-17 14:35:06,92.0,,-1.07485779741542,-2.96539311721763,-1.28224059664979,2025/07/17 02:36:18 PM,-1.9594452813672518,17.897090911865234,19.05241935483872
,6743.0,830.0,7172.0,546.0,-101.0,2483.0,3028.0,2025-07-17 14:35:07,92.0,,-1.07500677604327,-2.96540972599583,-1.28190001173556,2025/07/17 02:36:28 PM,-2.001046297875293,18.264841079711918,18.487811998248432
,6740.0,832.0,7173.0,546.0,-107.0,2497.0,3044.0,2025-07-17 14:35:08,92.0,,-1.07479626126714,-2.96536378749008,-1.28167466612678,2025/07/17 02:36:38 PM,-2.0307467219295017,18.7353630065918,18.875251369530524
,6741.0,831.0,7173.0,546.0,-110.0,2487.0,3056.0,2025-07-17 14:35:09,93.0,,-1.07527216895415,-2.96538267205422,-1.28207599353719,2025/07/17 02:36:48 PM,-2.043146273274299,19.12181282043457,19.69632768361581
,6743.0,831.0,7172.0,544.0,-109.0,2485.0,3033.0,2025-07-17 14:35:10,93.0,,-1.07519010630124,-2.96521055837227,-1.2822375619722,2025/07/17 02:36:58 PM,-2.032782257617278,19.000703811645508,18.898225957049515
,6745.0,833.0,7173.0,546.0,-103.0,2492.0,3028.0,2025-07-17 14:35:11,94.0,,-1.07455234934124,-2.96529886711718,-1.28138742110848,2025/07/17 02:37:08 PM,-1.9944871593193017,18.94736862182617,20.55245814672366
,6747.0,834.0,7174.0,546.0,-111.0,2487.0,3024.0,2025-07-17 14:35:12,94.0,,-1.07473082806145,-2.96537878451924,-1.28233585045647,2025/07/17 02:37:18 PM,-1.9237261130059398,20.089284896850582,20.127825644312853
,6750.0,832.0,7173.0,545.0,-125.0,2491.0,3038.0,2025-07-17 14:35:13,94.0,,-1.0761951203882,-2.96541488926468,-1.28303000423236,2025/07/17 02:37:28 PM,-1.816884180744819,20.174848556518555,20.36570848701287
,6752.0,831.0,7175.0,544.0,-110.0,2485.0,3054.0,2025-07-17 14:35:14,94.0,,-1.07684201750662,-2.96550867041527,-1.28370231633301,2025/07/17 02:37:38 PM,-1.671483515057006,20.19446563720703,20.00496031746035
,6753.0,834.0,7175.0,548.0,-109.0,2483.0,3034.0,2025-07-17 14:35:15,93.0,,-1.07815038776868,-2.96572269611552,-1.28401975771063,,-1.4863229533166886,,
,6755.0,835.0,7178.0,548.0,-107.0,2501.0,3025.0,2025-07-17 14:35:16,93.0,,-1.07948607752597,-2.96571743527776,-1.28489253853006,,-1.2615446469480958,,
,6758.0,834.0,7180.0,545.0,-101.0,2502.0,3019.0,2025-07-17 14:35:17,93.0,,-1.07995397137367,-2.9657573143059,-1.28525851595749,,-0.9986419707970464,,
,6763.0,833.0,7180.0,547.0,-104.0,2506.0,3040.0,2025-07-17 14:35:18,92.0,,-1.08115744206944,-2.96586233572139,-1.28593345196202,,-0.7004287466768269,,
,6763.0,834.0,7184.0,547.0,-94.0,2496.0,3052.0,2025-07-17 14:35:19,92.0,,-1.08273176250735,-2.96594659923583,-1.28630114735078,,-0.37099069819977076,,
,6769.0,835.0,7185.0,547.0,-100.0,2496.0,3054.0,2025-07-17 14:35:20,91.0,,-1.08350705075991,-2.96597088056512,-1.28699649216426,,-0.015635412900605793,,
,6769.0,838.0,7183.0,549.0,-109.0,2489.0,3056.0,2025-07-17 14:35:21,91.0,,-1.08410347182397,-2.96600061284569,-1.28725602809758,,0.3591528860355004,,
,6774.0,836.0,7186.0,548.0,-110.0,2498.0,3061.0,2025-07-17 14:35:22,90.0,,-1.08446798624392,-2.96599729675392,-1.28758474191361,,0.7457610832139274,,
,6776.0,834.0,7184.0,547.0,-106.0,2491.0,3046.0,2025-07-17 14:35:23,91.0,,-1.08507992418401,-2.96609997189475,-1.28736053733247,,1.1355184257851676,,
,6781.0,838.0,7190.0,548.0,-102.0,2485.0,3039.0,2025-07-17 14:35:24,91.0,,-1.0849650695407,-2.96598202029529,-1.28715922581234,,1.5188212345684466,,
,6784.0,840.0,7191.0,549.0,-102.0,2486.0,3041.0,2025-07-17 14:35:25,92.0,,-1.0851318432593,-2.96605658540838,-1.2863497427152,,1.8853414634441843,,
,6789.0,838.0,7193.0,547.0,-104.0,2484.0,3036.0,2025-07-17 14:35:26,92.0,,-1.08469731092939,-2.96591655676672,-1.28728721827441,,2.224340606601244,,
,6790.0,839.0,7192.0,547.0,-101.0,2491.0,3050.0,2025-07-17 14:35:27,91.0,,-1.08429724687789,-2.96601649258474,-1.28683002304346,,2.5250943942884243,,
,6791.0,838.0,7194.0,550.0,-96.0,2494.0,3043.0,2025-07-17 14:35:28,90.0,,-1.08406653645437,-2.96593914183073,-1.28623840517606,,2.777414114838505,,
,6799.0,839.0,7200.0,551.0,-107.0,2494.0,3040.0,2025-07-17 14:35:29,90.0,,-1.08415659240493,-2.96586838656489,-1.28636414555435,,2.9722307781780497,,
,6801.0,840.0,7198.0,549.0,-108.0,2499.0,3042.0,2025-07-17 14:35:30,89.0,,-1.08358537033384,-2.96597774262022,-1.28634728356915,,3.1021915930008315,,
,6802.0,840.0,7200.0,548.0,-98.0,2498.0,3043.0,2025-07-17 14:35:31,89.0,,-1.08311214352047,-2.96585788239807,-1.28632807630393,,3.162206875682975,,
,6806.0,842.0,7206.0,550.0,-108.0,2483.0,3059.0,2025-07-17 14:35:32,90.0,,-1.0822328660131,-2.96605458879733,-1.28590932554829,,3.149881903987963,,
,6812.0,843.0,7204.0,552.0,-102.0,2493.0,3023.0,2025-07-17 14:35:33,90.0,,-1.08220383334426,-2.96598119298909,-1.28478609474466,,3.065774391307245,,
,6814.0,842.0,7205.0,553.0,-109.0,2485.0,3023.0,2025-07-17 14:35:34,90.0,,-1.08171878401994,-2.96592491730326,-1.2853981028073,,2.9134351524420485,,
