TimeLabel,MEAS1_PPG1,MEAS1_PPG2,MEAS1_PPG3,MEAS1_PPG4,ACCX,ACCY,ACCZ,HR_timestamp,HR_value,radar_timestamp,phase_rx0,phase_rx1,phase_rx2,timestep,n_process,original_rate,calculated_rate
2025-07-17 17:28:17,8037.0,1435.0,5546.0,1826.0,1474.0,3283.0,1647.0,2025-07-17 17:28:24,105.0,2025/07/17 05:28:17 PM,0.0445794815256646,-1.96869623163669,0.0903237350538884,2025/07/17 05:28:17 PM,-2.0475046155379797,0.0,18.25716845878136
,8033.0,1437.0,5542.0,1823.0,1486.0,3262.0,1645.0,2025-07-17 17:28:25,105.0,,0.0446037477562176,-1.96861405789092,0.0903350458466621,2025/07/17 05:28:27 PM,-1.8738713702055156,11.755486488342283,18.48473084886128
,8029.0,1437.0,5539.0,1823.0,1484.0,3258.0,1645.0,2025-07-17 17:28:26,105.0,,0.0445403488043341,-1.96839855970849,0.0903313102397977,2025/07/17 05:28:37 PM,-1.6770188429178714,15.1770658493042,19.243429132891183
,8026.0,1434.0,5536.0,1820.0,1483.0,3264.0,1652.0,2025-07-17 17:28:27,104.0,,0.044568604197306,-1.9684571667166,0.0903097989693516,2025/07/17 05:28:47 PM,-1.4582071875774263,16.3170166015625,18.34232328573947
,8022.0,1434.0,5534.0,1817.0,1475.0,3274.0,1647.0,2025-07-17 17:28:28,104.0,,0.0445079278000797,-1.96836529855627,0.0903017192469515,2025/07/17 05:28:57 PM,-1.2195702598633111,18.75,18.217338217338206
,8018.0,1434.0,5532.0,1817.0,1483.0,3266.0,1640.0,2025-07-17 17:28:29,104.0,,0.0445448666396979,-1.96819007362982,0.0902916661340704,2025/07/17 05:29:07 PM,-0.9640174322763488,19.027484893798828,18.3450260199279
,8014.0,1433.0,5530.0,1819.0,1490.0,3269.0,1643.0,2025-07-17 17:28:30,105.0,,0.0444505956366823,-1.96812563606617,0.0903213518017506,2025/07/17 05:29:17 PM,-0.6950798818205465,18.32061004638672,22.40978558573131
,8011.0,1434.0,5531.0,1816.0,1485.0,3283.0,1640.0,2025-07-17 17:28:31,105.0,,0.0444836739949701,-1.96848020128779,0.0903232817300268,2025/07/17 05:29:27 PM,-0.4167176220227129,17.647058486938477,21.78253119429591
,8011.0,1433.0,5531.0,1817.0,1485.0,3276.0,1646.0,2025-07-17 17:28:32,106.0,,0.0444948690330557,-1.96841510033294,0.090323340578661,2025/07/17 05:29:37 PM,-0.13310848567822037,18.455228805541992,20.033416875522136
,8010.0,1434.0,5529.0,1817.0,1491.0,3260.0,1637.0,2025-07-17 17:28:33,106.0,,0.0444871442152142,-1.96831396881463,0.0903324704676684,2025/07/17 05:29:47 PM,0.15155727708609973,21.201414108276367,17.528771039207452
