TimeLabel,MEAS1_PPG1,MEAS1_PPG2,MEAS1_PPG3,MEAS1_PPG4,ACCX,ACCY,ACCZ,HR_timestamp,HR_value,radar_timestamp,phase_rx0,phase_rx1,phase_rx2,timestep,n_process,original_rate,calculated_rate
2025-06-30 21:22:06,6494.0,715.0,6672.0,902.0,-56.0,2099.0,3301.0,2025-06-30 21:22:06,84.0,2025/06/30 09:22:06 PM,-2.4315887789835,-2.99716799814838,-1.78083216468727,2025/06/30 09:22:06 PM,-3.805102495608563,20.891365051269528,21.899873156809896
,6494.0,717.0,6671.0,904.0,-63.0,2086.0,3312.0,2025-06-30 21:22:07,84.0,,-2.43169107870912,-2.99701954409779,-1.78066270529626,2025/06/30 09:22:16 PM,-3.8231615850321305,20.833333969116207,21.445672697941294
,6495.0,711.0,6670.0,904.0,-62.0,2105.0,3278.0,2025-06-30 21:22:08,85.0,,-2.43180785549592,-2.99687847405035,-1.78020709333036,2025/06/30 09:22:26 PM,-3.8581843124215465,21.32196044921875,22.657342657342667
,6496.0,714.0,6668.0,904.0,-60.0,2115.0,3278.0,2025-06-30 21:22:09,86.0,,-2.43145386786662,-2.99728911652821,-1.78075906128278,2025/06/30 09:22:36 PM,-3.9081617282314753,22.02643203735352,21.253576931543037
,6494.0,714.0,6670.0,902.0,-61.0,2098.0,3274.0,2025-06-30 21:22:10,86.0,,-2.43213660079672,-2.99697141636936,-1.78044267270199,2025/06/30 09:22:46 PM,-3.9678297866857184,22.01467704772949,21.640667761357403
,6494.0,715.0,6668.0,903.0,-57.0,2108.0,3288.0,2025-06-30 21:22:11,86.0,,-2.43011629060033,-2.99728766070768,-1.77995645346263,2025/06/30 09:22:56 PM,-4.029115254821636,21.723388671875,21.82299182299182
,6496.0,715.0,6670.0,902.0,-54.0,2115.0,3299.0,2025-06-30 21:22:12,86.0,,-2.43139084507847,-2.9972003567006,-1.77986869856691,2025/06/30 09:23:06 PM,-4.081688252775612,21.44388771057129,22.106129164952712
,6494.0,715.0,6670.0,903.0,-51.0,2113.0,3292.0,2025-06-30 21:22:13,86.0,,-2.43128557613648,-2.99713383863619,-1.77975830895686,2025/06/30 09:23:16 PM,-4.113585350811206,22.192333221435547,20.701754385964904
,6492.0,713.0,6672.0,902.0,-65.0,2111.0,3284.0,2025-06-30 21:22:14,86.0,,-2.42981053260329,-2.997346932951,-1.77989579590402,2025/06/30 09:23:26 PM,-4.1118777934127095,21.5982723236084,19.759521013901704
,6492.0,710.0,6670.0,900.0,-61.0,2091.0,3285.0,2025-06-30 21:22:15,86.0,,-2.42935662795898,-2.99758016537742,-1.77990745521801,2025/06/30 09:23:36 PM,-4.063368278827411,20.594964981079105,20.158730158730155
,6494.0,714.0,6674.0,903.0,-51.0,2103.0,3271.0,2025-06-30 21:22:16,86.0,,-2.43001456504809,-2.99761863438187,-1.78010861805267,2025/06/30 09:23:46 PM,-3.955304780998927,20.3389835357666,20.940062019455436
,6498.0,715.0,6675.0,902.0,-70.0,2107.0,3293.0,2025-06-30 21:22:17,86.0,,-2.42928272993433,-2.99725923112756,-1.77943223998146,2025/06/30 09:23:56 PM,-3.7761001484402335,20.31602668762207,19.759521013901697
,6494.0,715.0,6676.0,903.0,-66.0,2100.0,3286.0,2025-06-30 21:22:18,87.0,,-2.42894805585811,-2.99758211942886,-1.77953777844611,2025/06/30 09:24:06 PM,-3.516041975673386,20.224720001220703,21.312136139722373
,6494.0,713.0,6678.0,901.0,-58.0,2112.0,3279.0,2025-06-30 21:22:19,87.0,,-2.42859269422528,-2.99760807379492,-1.77958886552127,2025/06/30 09:24:16 PM,-3.167970079736682,20.547945022583008,20.38594174187392
,6496.0,717.0,6681.0,902.0,-68.0,2114.0,3284.0,2025-06-30 21:22:20,86.0,,-2.42862266271643,-2.99743492422277,-1.77988299889762,2025/06/30 09:24:26 PM,-2.727891076914489,20.50113868713379,20.81906988394421
,6496.0,716.0,6681.0,901.0,-67.0,2112.0,3280.0,2025-06-30 21:22:21,86.0,,-2.42842484823019,-2.99780194014126,-1.77974866891146,2025/06/30 09:24:36 PM,-2.195493435129117,20.718231201171875,21.298787419477108
