TimeLabel,MEAS1_PPG1,MEAS1_PPG2,MEAS1_PPG3,MEAS1_PPG4,ACCX,ACCY,ACCZ,HR_timestamp,HR_value,radar_timestamp,phase_rx0,phase_rx1,phase_rx2,timestep,n_process,original_rate,calculated_rate
2025-07-15 19:41:48,6118.0,1295.0,8666.0,2289.0,870.0,2472.0,2903.0,2025-07-15 19:41:48,70.0,2025/07/15 07:41:48 PM,-0.643002342668837,-2.84181460097505,-0.842107432943024,2025/07/15 07:41:48 PM,8.269433197118369,18.556699752807617,17.395510835913313
,6121.0,1294.0,8665.0,2287.0,866.0,2470.0,2925.0,2025-07-15 19:41:49,71.0,,-0.643239752742727,-2.84185818842825,-0.841493356411951,2025/07/15 07:41:58 PM,7.15662985710798,17.045455932617188,20.76732405398581
,6122.0,1299.0,8668.0,2289.0,860.0,2472.0,2954.0,2025-07-15 19:41:50,71.0,,-0.643413919846157,-2.84174449346364,-0.842323585478616,2025/07/15 07:42:08 PM,5.97560788393429,19.08127212524414,20.03341687552214
,6130.0,1299.0,8670.0,2289.0,866.0,2467.0,2920.0,2025-07-15 19:41:51,71.0,,-0.643720939238221,-2.84178230045351,-0.842938806181456,2025/07/15 07:42:18 PM,4.767257352443382,19.21537208557129,18.181148131396878
,6132.0,1302.0,8671.0,2290.0,865.0,2462.0,2918.0,2025-07-15 19:41:51,71.0,,-0.643866623591581,-2.84158535109551,-0.843377322313586,2025/07/15 07:42:28 PM,3.56966461961982,19.28571510314941,18.190045248868792
,6134.0,1302.0,8673.0,2293.0,860.0,2487.0,2916.0,2025-07-15 19:41:53,70.0,,-0.64346646699318,-2.84162872094543,-0.842906469629116,2025/07/15 07:42:38 PM,2.416145654555866,18.63354110717773,20.479895208986594
,6138.0,1302.0,8674.0,2292.0,865.0,2487.0,2941.0,2025-07-15 19:41:53,69.0,,-0.643982998070805,-2.84178900381193,-0.84362482796686,2025/07/15 07:42:48 PM,1.333784451814126,18.723995208740234,19.844720496894436
,6142.0,1301.0,8672.0,2292.0,858.0,2477.0,2934.0,2025-07-15 19:41:54,68.0,,-0.644370462346924,-2.84190363408057,-0.842724743815742,2025/07/15 07:42:58 PM,0.34256043180716883,19.271947860717773,19.926015603981696
,6146.0,1304.0,8673.0,2294.0,865.0,2472.0,2930.0,2025-07-15 19:41:55,67.0,,-0.644088252595873,-2.8418372861892,-0.842768260895212,2025/07/15 07:43:08 PM,-0.5449151748303186,20.19446563720703,15.337023770758726
,6149.0,1303.0,8673.0,2294.0,855.0,2468.0,2923.0,2025-07-15 19:41:56,66.0,,-0.644477436474265,-2.84180661051144,-0.843730406940528,2025/07/15 07:43:18 PM,-1.323092547579957,17.751480102539062,20.408163265306115
,6151.0,1304.0,8672.0,2295.0,847.0,2474.0,2925.0,2025-07-15 19:41:57,66.0,,-0.644765529589397,-2.84196447528788,-0.842559544718796,2025/07/15 07:43:28 PM,-1.9926927316081653,18.447347640991207,19.090267077555207
,6156.0,1306.0,8673.0,2297.0,854.0,2477.0,2950.0,2025-07-15 19:41:58,66.0,,-0.644425074635162,-2.84194983638318,-0.843846433000995,2025/07/15 07:43:38 PM,-2.5595543542664356,18.60785675048828,14.52173913043479
,6161.0,1306.0,8674.0,2296.0,875.0,2472.0,2938.0,2025-07-15 19:41:59,65.0,,-0.644483191806712,-2.84189883621294,-0.844063539651064,2025/07/15 07:43:48 PM,-3.0332579184782276,17.96407127380371,14.450124343741358
,6163.0,1309.0,8676.0,2297.0,869.0,2477.0,2943.0,2025-07-15 19:42:00,66.0,,-0.64493573762598,-2.84194155814718,-0.844564039340112,2025/07/15 07:43:58 PM,-3.4256722013561802,15.92115306854248,20.632266284440202
,6167.0,1307.0,8676.0,2297.0,875.0,2485.0,2953.0,2025-07-15 19:42:01,66.0,,-0.645331712813198,-2.84198125061892,-0.844429878407162,2025/07/15 07:44:08 PM,-3.7495579458974397,16.150739669799805,17.16388702281158
,6172.0,1309.0,8676.0,2296.0,868.0,2478.0,2933.0,2025-07-15 19:42:02,66.0,,-0.645309303870378,-2.84203291973664,-0.844805663264328,2025/07/15 07:44:18 PM,-4.017343921539572,17.00404930114746,19.10138567672816
,6176.0,1313.0,8679.0,2298.0,856.0,2483.0,2936.0,2025-07-15 19:42:03,66.0,,-0.645049374240171,-2.84204448613774,-0.844866983325058,2025/07/15 07:44:28 PM,-4.240162947170855,18.711017608642575,22.2373717926278
,6180.0,1313.0,8677.0,2301.0,867.0,2472.0,2932.0,2025-07-15 19:42:04,65.0,,-0.64528299444678,-2.84203430946204,-0.844644876959873,2025/07/15 07:44:38 PM,-4.427203865631489,19.21708106994629,19.642857142857178
,6183.0,1313.0,8679.0,2302.0,870.0,2469.0,2944.0,2025-07-15 19:42:06,65.0,,-0.645393477756963,-2.84217350121967,-0.844989036557261,,-4.585402303117137,,
,6188.0,1312.0,8680.0,2301.0,869.0,2475.0,2949.0,2025-07-15 19:42:06,65.0,,-0.645283610007052,-2.84225648532951,-0.844133534368476,,-4.719460227954977,,
,6191.0,1314.0,8680.0,2301.0,867.0,2474.0,2932.0,2025-07-15 19:42:07,65.0,,-0.645166101146602,-2.84223343817829,-0.843938304953147,,-4.832153520794623,,
,6198.0,1315.0,8682.0,2305.0,871.0,2487.0,2941.0,2025-07-15 19:42:09,66.0,,-0.645903407995404,-2.842370604238,-0.844541553370854,,-4.924860042900596,,
,6201.0,1317.0,8682.0,2305.0,871.0,2492.0,2928.0,2025-07-15 19:42:09,67.0,,-0.646097772523362,-2.84229224751559,-0.845412046499703,,-4.998220658145445,,
,6204.0,1318.0,8682.0,2304.0,867.0,2479.0,2919.0,2025-07-15 19:42:10,68.0,,-0.645500772584653,-2.84214919915859,-0.845210259249744,,-5.0528349336712814,,
